[09-Dec-2013 22:00:32 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[09-Dec-2013 22:00:38 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[09-Dec-2013 22:02:17 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[09-Dec-2013 22:02:22 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[09-Dec-2013 22:02:27 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[09-Dec-2013 22:08:00 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\header.inc.php on line 14
[09-Dec-2013 22:08:00 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\header.inc.php on line 17
[09-Dec-2013 22:08:00 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[09-Dec-2013 22:08:00 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\header.inc.php on line 60
[09-Dec-2013 22:08:00 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\footer.inc.php on line 37
[09-Dec-2013 22:08:00 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\footer.inc.php on line 128
[09-Dec-2013 22:08:15 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\header.inc.php on line 14
[09-Dec-2013 22:08:15 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\header.inc.php on line 17
